id,title,company,location,salary,snippet,date_posted,category,url,fetched_at
-6.04419E+18,Senior Business Data Analyst - Transact system,"NTT DATA, Inc.",Ireland,,"...NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive... ...be able to guide, handhold, and groom the team of ",2026-08-29T00:00:00.0000000,data analyst,https://jooble.org/jdp/-6044188449424794720,2026-09-15T17:45:27.406490
-5.41079E+18,Senior Business Analyst,"NTT DATA, Inc.",Ireland,,"...NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive... ...now. Overview We are looking to recruit a Senior B",2026-09-02T17:17:10.1200000,data analyst,https://jooble.org/jdp/-5410791885121711395,2026-09-15T17:45:27.406539
-4.07783E+18,Senior Techno Functional Business Analyst,"NTT DATA, Inc.",Ireland,,"...Req ID: 386493 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to... ...We are currently seeking a Senior Techno Functional Busines",2026-08-18T15:15:06.6730000,data analyst,https://jooble.org/jdp/-4077827066020536063,2026-09-15T17:45:27.406564
-8.10624E+17,Techno Functional Business Analyst,"NTT DATA, Inc.",Ireland,,"...NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive... ...now. Overview We are seeking a Techno-Functional B",2026-08-29T00:00:00.0000000,data analyst,https://jooble.org/jdp/-810623601426936620,2026-09-15T17:45:27.406585
5.27014E+18,Business Analyst - Trade Finance / Contingent Liabilities,"NTT DATA, Inc.",Ireland,,"...Req ID: 383060 NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want... ...organization, apply now. We are currently seeking a Business A",2026-08-26T00:00:00.0000000,data analyst,https://jooble.org/jdp/5270141991803929575,2026-09-15T17:45:27.406616
-8.92415E+18,Senior Scientist - De Novo Peptide Design,Design· Full-time,Ireland,,"...meaningful problems that create real impact Time is Neurons: Every moment counts for patients – act with urgency and care, making data-driven decisions without compromise. Win or Learn: Embrace cur",2026-08-25T00:00:00.0000000,data scientist,https://jooble.org/jdp/-8924151133640617245,2026-09-15T17:45:27.406639
-1.71506E+18,Contract Analyst II,SmartSpace Global,Ireland,,"...in hopes that we can all thrive. Job Summary The Contract Analyst II supports the end-to-end customer contract lifecycle, partnering... ...appropriately. Maintain accurate contract records and data",2026-02-28T00:00:00.0000000,data analyst,https://jooble.org/jdp/-1715064351629205880,2026-09-15T17:45:27.406660
4.98377E+18,Data Delivery Director,"NTT DATA, Inc.",Ireland,,"...Req ID: 383482 Competitive salary | Dublin, Ireland At NTT DATA, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key f",2026-09-01T00:00:00.0000000,other,https://jooble.org/jdp/4983768929326717800,2026-09-15T17:45:27.406683
-4.20529E+18,PMO Analyst,"NTT DATA, Inc.",Ireland,,"...NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive... ...adaptable, and forward-thinking organization, appl",2026-09-13T00:00:00.0000000,data analyst,https://jooble.org/jdp/-4205292638477893086,2026-09-15T17:45:27.406703
4.01047E+18,Hardware Engineer (FPGA),Virtu Financial,Ireland,,"Virtu is a leading financial firm that leverages cutting edge technology to deliver liquidity to the global markets and innovative, transparent trading solutions to our clients. As a market maker, Vir",2026-09-05T00:00:00.0000000,data engineer,https://jooble.org/jdp/4010465039263144988,2026-09-15T17:45:27.406722
8.64839E+18,Lead Site Reliability Engineer,Mastercard,Ireland,,"...inclusive, digital economy that benefits everyone, everywhere, by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships, and passion, our innovations",2026-09-04T00:00:00.0000000,data engineer,https://jooble.org/jdp/8648392644573758875,2026-09-15T17:45:27.406740
1.49172E+18,Lead Snowflake Architect,"NTT DATA, Inc.",Ireland,,"...Req ID: 383465 Competitive salary | Dublin, Ireland At NTT DATA, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key f",2026-09-01T00:00:00.0000000,other,https://jooble.org/jdp/1491720263968683360,2026-09-15T17:45:27.831849
-5.08758E+18,Software Engineer - Platform Metal | Ireland | Remote,Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-18T00:00:00.0000000,data engineer,https://jooble.org/jdp/-5087584620588062003,2026-09-15T17:45:27.831910
8.07571E+18,"Staff Product Manager, Machine Learning",Overstory,Ireland,,"...Intelligence, the product area that turns remote sensing imagery and data into the vegetation insights that utilities act on every day,... ...fluent enough in model trade-offs to make good calls wi",2026-08-25T00:00:00.0000000,machine learning engineer,https://jooble.org/jdp/8075711993339627678,2026-09-15T17:45:27.831934
3.70536E+18,"Staff Product Manager, OpenTelemetry | Ireland | Remote",Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-25T00:00:00.0000000,other,https://jooble.org/jdp/3705355750278580251,2026-09-15T17:45:27.831954
2.30939E+18,Backend Engineer - Platform - Stacks | Ireland | Remote,Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-18T00:00:00.0000000,data engineer,https://jooble.org/jdp/2309393646432995732,2026-09-15T17:45:27.832044
6.83894E+18,DB2 for z/OS Systems Programmer,"NTT DATA, Inc.",Ireland,,"...Req ID: 384913 Competitive salary | UK/Europe: Fully remote possible; occasionally Sheffield preferred At NTT DATA, we know that with the right people on board, anything is possible. The quality, i",2026-09-04T00:00:00.0000000,other,https://jooble.org/jdp/6838937351068571855,2026-09-15T17:45:27.832065
8.31579E+18,Senior Software Engineer,Mastercard,Ireland,,...within Mastercard’s Services organization are building industry-leading software that empowers business users around the world to make data-driven decisions through advanced analytics and experimen,2026-09-04T00:00:00.0000000,data engineer,https://jooble.org/jdp/8315793036957324898,2026-09-15T17:45:27.832106
4.00379E+18,Senior Backend Engineer - Databases Pyroscope | Ireland | Remote,Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-18T00:00:00.0000000,data engineer,https://jooble.org/jdp/4003794193152958995,2026-09-15T17:45:27.832127
1.66681E+18,Senior Software Engineer,Mastercard,Ireland,,...and governments realize their greatest potential. Title and Summary Senior Software Engineer Overview ~ Mastercard Emerging Data Signals is a global product within Mastercard responsible for the de,2026-09-05T00:00:00.0000000,data engineer,https://jooble.org/jdp/1666811261047538653,2026-09-15T17:45:27.832147
-8.84792E+18,Lead Software Engineer,Mastercard,Ireland,,"...software that empowers business users around the world to make data-driven decisions through advanced analytics and experimentation... ...closely with product managers, engineering teams, architect",2026-09-04T00:00:00.0000000,data engineer,https://jooble.org/jdp/-8847923803883135646,2026-09-15T17:45:27.832168
4.53231E+18,"Staff Software Engineer - Databases, Tempo | Ireland | Remote",Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-18T00:00:00.0000000,data engineer,https://jooble.org/jdp/4532310998350754883,2026-09-15T17:45:27.832216
7.51728E+18,Staff Software Engineer - Databases SRE | Ireland | Remote,Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-18T00:00:00.0000000,data engineer,https://jooble.org/jdp/7517280713941963032,2026-09-15T17:45:27.832236
-1.64494E+18,Staff Backend Engineer - Alerting | Ireland | Remote,Grafanalabs,Ireland,,"...observability to AI, giving teams (and their agents) unified visibility so they can see, understand, and act on all their disparate data, wherever it lives, and move at the speed of their ambitions",2026-08-18T00:00:00.0000000,data engineer,https://jooble.org/jdp/-1644936149956518460,2026-09-15T17:45:27.832256
-5.34544E+18,Temporary Quality Manager GCP - GVP,Regeneron,Ireland,,"...continuous improvement. Oversee the Quality Event portfolio and provide subject matter expertise to functional teams. Lead quality data analysis, root cause investigations, and Corrective Action/Pr",2026-08-27T00:00:00.0000000,other,https://jooble.org/jdp/-5345438455751132243,2026-09-15T17:45:27.832275
-2.86197E+18,"Director, Software Engineering",Mastercard,Ireland,,...supporting multiple languages and currencies. • Experience integrating web services with best in class platforms such as Layer 7 and Data Power. • Experience building de-coupled systems using techn,2026-09-05T00:00:00.0000000,data engineer,https://jooble.org/jdp/-2861965208775236616,2026-09-15T17:45:27.832298
-7.79012E+18,"Manager, Product Experience & Design",Mastercard,Ireland,,"...agents proactively assist, act and collaborate with users to achieve outcomes. You’ll join our pioneering CX&D Squad in the AI & Data organization at Mastercard to design new User Experiences, driv",2026-09-04T00:00:00.0000000,other,https://jooble.org/jdp/-7790117575032421073,2026-09-15T17:45:27.832321
